Chain name,Master Dealer Id Intouch,Customer account,Site Code
Reliance Retail Limited,5,KA/0088-003,6226
Reliance Retail Limited,5,KA/0088-007,2994
Reliance Retail Limited,5,KA/0088-010,TP58
Reliance Retail Limited,5,KA/0088-012,2997
Reliance Retail Limited,5,KA/0088-013,TR28
Reliance Retail Limited,5,KA/0088-014,TV12
Reliance Retail Limited,5,KL/0035,CY08
Reliance Retail Limited,5,KL/0035-001,6705
Reliance Retail Limited,5,KL/0035-002,6707
Reliance Retail Limited,5,KL/0035-003,6706
Reliance Retail Limited,5,KL/0035-005,3211
Reliance Retail Limited,5,MH/0214,6219
Reliance Retail Limited,5,MH/0214-001,3263
Reliance Retail Limited,5,MH/0214-002,6208
Reliance Retail Limited,5,MH/0214-003,6209
Reliance Retail Limited,5,MH/0214-005,CM08
Reliance Retail Limited,5,MH/0214-007,6719
Reliance Retail Limited,5,MH/0214-008,TC95
Reliance Retail Limited,5,MH/0214-009,TU19
Reliance Retail Limited,5,MH/0231,CF08
Reliance Retail Limited,5,MH/0231-0011,6217
Reliance Retail Limited,5,MH/0231-0019,6221
Reliance Retail Limited,5,MH/0231-0020,3104
Reliance Retail Limited,5,MH/0231-0021,3112
Reliance Retail Limited,5,MH/0231-0022,TQ60
Reliance Retail Limited,5,MH/0231-003,6220
Reliance Retail Limited,5,MH/0231-006,6210
Reliance Retail Limited,5,MH/0231-010,TA10
Reliance Retail Limited,5,MP/0037-004,TO20
Reliance Retail Limited,5,MP/0037-005,3210
Reliance Retail Limited,5,MP/0058,EV08
Reliance Retail Limited,5,MP/0058-001,TG60
Reliance Retail Limited,5,OR/0031-001,2959
Reliance Retail Limited,5,OR/0031-002,R801
Reliance Retail Limited,5,OR/0031-003,TN56
Reliance Retail Limited,5,OR/0031-004,TW60
Reliance Retail Limited,5,OR/0031-005,6224
Reliance Retail Limited,5,PB/0060-001,FB08
Reliance Retail Limited,5,PB/0060-002,2996
Reliance Retail Limited,5,PB/0060-003,T914
Reliance Retail Limited,5,PB/0060-004,T916
Reliance Retail Limited,5,PB/0060-005,TE57
Reliance Retail Limited,5,PB/0060-006,TD03
Reliance Retail Limited,5,PB/0060-007,TQ62
Reliance Retail Limited,5,PB/0060-008,TQ57
Reliance Retail Limited,5,RJ/0054,6722
Reliance Retail Limited,5,RJ/0054-001,CT08
Reliance Retail Limited,5,RJ/0054-002,6726
Reliance Retail Limited,5,RJ/0054-003,6717
Reliance Retail Limited,5,RJ/0054-005,T946
Reliance Retail Limited,5,RJ/0054-006,TP76
Reliance Retail Limited,5,RJ/0054-007,TH94
Reliance Retail Limited,5,TG/0027-0005,6714
Reliance Retail Limited,5,TG/0027-0006,R301
Reliance Retail Limited,5,TG/0027-0007,TB20
Reliance Retail Limited,5,TG/0027-0008,TL07
Reliance Retail Limited,5,TN/0083-001,CB08
Reliance Retail Limited,5,TN/0083-003,R703
Reliance Retail Limited,5,TN/0083-004,TA36
Reliance Retail Limited,5,UP/0135-002,6708
Reliance Retail Limited,5,UP/0135-003,T913
Reliance Retail Limited,5,UP/0135-004,T915
Reliance Retail Limited,5,UP/0135-005,TH86
Reliance Retail Limited,5,UP/0135-006,TH89
Reliance Retail Limited,5,UP/0135-007,T918
Reliance Retail Limited,5,UP/0135-008,TB22
Reliance Retail Limited,5,WB/0091-001,R426
Reliance Retail Limited,5,WB/0091-003,Y472
Reliance Retail Limited,5,WB/0091-004,TM28
Reliance Retail Limited,5,WB/0091-005,TN55
Reliance Retail Limited,5,WB/0091-006,TQ22
Reliance Retail Limited-CNC,19,AP/0087,3124
Reliance Retail Limited-CNC,19,AP/0087-0013,3245
Reliance Retail Limited-CNC,19,AP/0087-0014,3304
Reliance Retail Limited-CNC,19,AS/0046,3318
Reliance Retail Limited-CNC,19,CT/0043,3268
Reliance Retail Limited-CNC,19,GJ/0064,3098
Reliance Retail Limited-CNC,19,GJ/0064-001,3241
Reliance Retail Limited-CNC,19,GJ/0064-003,3244
Reliance Retail Limited-CNC,19,GJ/0064-004,3249
Reliance Retail Limited-CNC,19,GJ/0064-005,3123
Reliance Retail Limited-CNC,19,JH/0082,3289
Reliance Retail Limited-CNC,19,KA/0119,3222
Reliance Retail Limited-CNC,19,KA/0119-001,3275
Reliance Retail Limited-CNC,19,KA/0119-002,3238
Reliance Retail Limited-CNC,19,KA/0119-003,T635
Reliance Retail Limited-CNC,19,KA/0119-004,3315
Reliance Retail Limited-CNC,19,KA/0119-005,TG14
Reliance Retail Limited-CNC,19,MH/0286,3270
Reliance Retail Limited-CNC,19,MH/0292,3263
Reliance Retail Limited-CNC,19,MH/0292-001,3256
Reliance Retail Limited-CNC,19,MH/0292-003,3229
Reliance Retail Limited-CNC,19,MP/0037-002,3274
Reliance Retail Limited-CNC,19,MP/0037-003,3274
Reliance Retail Limited-CNC,19,PB/0066,3250
Reliance Retail Limited-CNC,19,PB/0066-002,3271
Reliance Retail Limited-CNC,19,PB/0066-004,3277
Reliance Retail Limited-CNC,19,PB/0066-005,3291
Reliance Retail Limited-CNC,19,PB/0066-006,3236
Reliance Retail Limited-CNC,19,PB/0066-007,3278
Reliance Retail Limited-CNC,19,RJ/0063,3231
Reliance Retail Limited-CNC,19,RJ/0063-001,3276
Reliance Retail Limited-CNC,19,RJ/0063-002,3295
Reliance Retail Limited-CNC,19,TG/0054,3257
Reliance Retail Limited-CNC,19,TG/0054-001,3293
Reliance Retail Limited-CNC,19,TN/0106-001,3303
Reliance Retail Limited-CNC,19,TN/0106-002,3253
Reliance Retail Limited-CNC,19,TN/0106-004,3264
Reliance Retail Limited-CNC,19,TN/0106-005,3243
Reliance Retail Limited-CNC,19,TN/0106-006,3252
Reliance Retail Limited-CNC,19,TN/0106-008,3224
Reliance Retail Limited-CNC,19,TN/0106-010,S141
Reliance Retail Limited-CNC,19,TN/0106-0010,3235
Reliance Retail Limited-CNC,19,UL/0063,3298
Reliance Retail Limited-CNC,19,UL/0063-001,3316
Reliance Retail Limited-CNC,19,WB/0110,3122
Reliance Retail Limited-CNC,19,WB/0110-001,3312
Reliance Retail Limited-CNC,19,WB/0110-002,3290
Reliance Retail Limited-CNC,19,WB/0110-003,T865
Reliance Retail Limited-CNC,19,WB/0110-004,T948
Reliance Retail Limited-CNC,19,WB/0110-005,TG13
Reliance Retail Limited-Ecom,,MH/0286-005,R280
Spencer's Retail Limited,8,AP/0160-001,H003
Spencer's Retail Limited,8,AP/0160-003,W064
Spencer's Retail Limited,8,AP/0160-005,H011
Spencer's Retail Limited,8,AP/0160-007,H070
Spencer's Retail Limited,8,AP/0160-008,H035
Spencer's Retail Limited,8,AP/0160-010,H015
Spencer's Retail Limited,8,AP/0160-011,W034
Spencer's Retail Limited,8,GJ/0125,H010
Spencer's Retail Limited,8,TG/0078,W001
Spencer's Retail Limited,8,TG/0078-001,H001
Spencer's Retail Limited,8,UP/0360,W027
Spencer's Retail Limited,8,WB/0253,H072
Spencer's Retail Limited,8,WB/0253-001,H069
Spencer's Retail Limited,8,WB/0253-002,H049
Spencer's Retail Limited,8,WB/0253-003,H012
Spencer's Retail Limited,8,WB/0253-004,H009
Spencer's Retail Limited,8,WB/0253-005,W061
Spencer's Retail Limited,8,WB/0253-006,S004
Spencer's Retail Limited,8,WB/0253-007,H013
Spencer's Retail Limited,8,WB/0253-008,H081
Trent Hypermarket Private Limited,15,TG/0043-001,HB04
Wal-Mart India Pvt. Ltd.,7,AP/0101,4742
Wal-Mart India Pvt. Ltd.,7,AP/0101-001,4725
Wal-Mart India Pvt. Ltd.,7,AP/0101-002,4721
Wal-Mart India Pvt. Ltd.,7,AP/0101-003,4799
Wal-Mart India Pvt. Ltd.,7,CT/0035,4716
Wal-Mart India Pvt. Ltd.,7,JK/0016,4719
Wal-Mart India Pvt. Ltd.,7,MH/0282,4724
Wal-Mart India Pvt. Ltd.,7,MH/0282-001,4744
Wal-Mart India Pvt. Ltd.,7,MP/0044,4712
Wal-Mart India Pvt. Ltd.,7,MP/0044-001,4729
Wal-Mart India Pvt. Ltd.,7,MP/0044-002,4760
Wal-Mart India Pvt. Ltd.,7,MP/0044-003,4803
Wal-Mart India Pvt. Ltd.,7,PB/0061,4702
Wal-Mart India Pvt. Ltd.,7,PB/0061-001,4703
Wal-Mart India Pvt. Ltd.,7,PB/0061-002,4706
Wal-Mart India Pvt. Ltd.,7,PB/0061-003,4717
Wal-Mart India Pvt. Ltd.,7,PB/0061-004,4750
Wal-Mart India Pvt. Ltd.,7,PB/0061-005,4801
Wal-Mart India Pvt. Ltd.,7,RJ/0056,4713
Wal-Mart India Pvt. Ltd.,7,TG/0077,4734
Wal-Mart India Pvt. Ltd.,7,TG/0077-001,4813
Wal-Mart India Pvt. Ltd.,7,TG/0077-002,4815
Wal-Mart India Pvt. Ltd.,7,TG/0077-003,4811
Wal-Mart India Pvt. Ltd.,7,UP/0144,4720
Wal-Mart India Pvt. Ltd.,7,UP/0144-001,4723
Wal-Mart India Pvt. Ltd.,7,UP/0144-002,4797
Wal-Mart India Pvt. Ltd.,7,UP/0145,4727
